Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Freeway Phantom,United States,1971,1972,6,6,"Raped and strangled six young women and girls in Washington, D.C. in the early 1970s, dumping their bodies by freeways.",North America,United States,Male,1970s
David Mason,United States,1980,1982,6,6,"Strangled four elderly neighbors, his cellmate when imprisoned on lesser charges; shot his boyfriend.",North America,United States,Male,1980s
Dayton Leroy Rogers,United States,1983,1987,6,6,"Killed street women, usually addicts, sex workers and runaways. He would tie, rape, and kill them in a forest.",North America,United States,Male,1980s
Norbert Poehlke,West Germany,1984,1985,6,6,"Known as ""The Hammer-Killer"", German police officer who was found, after his suicide in 1985, to have committed several bank robberies and murders.",Europe,West Germany,Male,1980s
Wolfgang Schmidt,"East Germany, Germany",1989,1991,6,6,"Known as the ""Beast of Beelitz"". Killed five women and a 3 month old baby from 1989 to 1991. Currently in a psychiatric hospital.",Europe,Multiple Countries,Male,1980s
Cleophus Prince Jr.,United States,1990,1999,6,6,"Known as ""The Clairemont Killer""; raped and killed six women in San Diego in 1990.",North America,United States,Male,1990s
Nathaniel White,United States,1991,1992,6,6,"Convicted of stabbing to death six women in the Hudson Valley, New York area from 1991 to 1992.",North America,United States,Male,1990s
Samuel Bongani Mfeka,South Africa,1993,1996,6,6,Killed 6 women from 1993 to 1996 and sentenced to life imprisonment.,Africa,South Africa,Male,1990s
Gary Ray Bowles,United States,1994,2003,6,6,Beat and strangled six men to death to steal their credit cards in 1994.,North America,United States,Male,1990s
Rory Enrique Conde,United States,1994,1995,6,6,"Known as ""The Tamiami Trail Strangler"". Killed 6 sex workers in Florida. Sentenced to death on March 7, 2000.",North America,United States,Male,1990s
Nicholas Lungisa Ncama,South Africa,1997,2006,6,6,"Murdered 6 people in the Eastern Cape, 1997.",Africa,South Africa,Male,1990s
Aleksandr Rubel,Estonia,1997,1998,6,6,He was intoxicated on gasoline vapour during his murders. Sentenced as a minor to the maximum punishment allowed by law — eight years imprisonment — he was released in 2006.,Europe,Estonia,Male,1990s
Celine Lesage,France,2000,2007,6,6,Killed seven of her newborn babies and sentenced to 15 years in prison.,Europe,France,Female,2000s
Filiberto Hernández Martínez,Mexico,2010,2013,6,6,Killed six people from 2010 to 2013 in Tamuín.,North America,Mexico,Male,2010s
Zodiac Killer,United States,1968,1969,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.,North America,United States,Male,1960s
Carl Panzram,"United States, Portuguese Angola",1915,1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.",North America,Multiple Countries,Male,1910s
Steve Wright,United Kingdom,2006,2015,5,22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five sex workers, all of whom worked in Ipswich in 2006. There are possible links to previous East Anglia prostitute killings.",Europe,United Kingdom,Male,2000s
Stephen Akinmurele,United Kingdom,1995,1998,5,15,Nigerian man who killed himself after being charged for the murders of 5 elderly people in Blackpool and Isle of Man. He confessed to the murders. Links to 10 other unsolved murders in the areas were investigated by police.,Europe,United Kingdom,Male,1990s
Joe Metheny,United States,1976,1996,5,13,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.",North America,United States,Male,1970s
Michel Peiry,"Switzerland, France, United States, Yugoslavia, Italy",1981,1987,5,11,"Known as the ""Sadist of Romont""; Swiss serial killer who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.",Europe,Multiple Countries,Male,1980s
Hubert Pilčík,Czechoslovakia,1948,1951,5,10,"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",Europe,Czechoslovakia,Male,1940s
Melvin Rees,United States,1957,1959,5,9,"Known as ""The Sex Beast""; shot and defiled a woman in 1957, torture-murdered a family of four in 1959 and suspected in four other killings.",North America,United States,Male,1950s
David Maust,"West Germany, United States",1974,2003,5,9,"Killed teenage boys; caught when bodies of three boys were found in the concrete floor of his basement in Hammond, Indiana. Committed suicide in prison in 2006.",Europe,Multiple Countries,Male,1970s
William Patrick Fyfe,Canada,1979,1999,5,9,"Convicted of killing five women in the Montreal area of Quebec, although he claims to have killed four others. Serving a life sentence in West Canada.",North America,Canada,Male,1970s
Willem van Eijk,Netherlands,1971,2001,5,8,"Dutch serial killer known as ""Het Beest van Harkstede"" (The Beast of Harkstede). All proven victims he killed were all sex workers. Sentenced to 18 years imprisonment for his first two murders and killed 3 more after his release. Sentenced to life imprisonment in 2002 and died in 2019 in prison. Suspected of having killed 3 more sex workers.",Europe,Netherlands,Male,1970s
Danny Rolling,United States,1989,1990,5,8,"Known as the ""Gainesville Ripper""; murdered five students in August 1990. Executed on October 6, 2006. Shortly before his execution, he gave a handwritten confession to authorities for a triple homicide of an elderly man, his adult daughter, and young grandson that occurred years earlier in Rolling's hometown of Shreveport, LA. Although Rolling was never officially charged or extradicted to LA to stand trial for the ""Grissom Murders"", Shreveport Police had confirmed even before the confession that Rolling had long been considered the lone suspect and the case was closed.",North America,United States,Male,1980s
Allan Joseph Legere,Canada,1989,1998,5,7,"Convicted of killing five people in the Miramichi area, New Brunswick. Legere is now serving a life sentence Canada's only super maximum prison (Special Handling Unit).",North America,Canada,Male,1980s
Joseph E. Duncan III,United States,1996,2005,5,7,"Convicted of killing a California boy in 1997 and four members of an Idaho family in 2005. Confessed to two 1996 murders in Washington state, but was not formally charged. Died while awaiting execution on U.S. federal death row.",North America,United States,Male,1990s
Vincent Johnson,United States,1999,2000,5,6,"""The Brooklyn Strangler"".",North America,United States,Male,1990s
Vinko Pintarić,SR Croatia,1973,1990,5,5,"Murdered five people, including his wife, between 1973 and 1990. Escaped from custody three times, killed in a 1991 shootout with the police.",Europe,SR Croatia,Male,1970s
Edward Edwards,United States,1977,1996,5,5,"Shot a young couple in 1977 and stabbed and strangled another in 1980; died months prior to execution on April 7, 2011, for shooting his foster son in 1996 insurance murder.",North America,United States,Male,1970s
Thomas Dillon,United States,1989,1992,5,5,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,North America,United States,Male,1980s
Marc Dutroux,Belgium,1995,1996,5,5,Child molester who killed 4 of possibly 11 victims. He was also convicted for murdering one of his partners in crime.,Europe,Belgium,Male,1990s
William Dathan Holbert,Panama,,2010,5,5,"Known as ""Wild Bill""; American expatriate who had the bodies of five other Americans buried on his property. He would kill people to get their money and properties. His wife, Laura Michelle Reese, was also arrested.",North America,Panama,Male,<NA>s
Sek Kim Wah,Singapore,1983,1992,5,5,"Sek Kim Wah, who was of Chinese Singaporean descent, was 19 years old when he killed five victims in two separate robbery cases, using raffia string to strangle them. Other methods employed were hitting their heads with a heavy object (like a wooden stool) and electrocution (which was unsuccessful). He robbed and killed a couple before abandoning their corpses at Seletar Reservoir on 30 June 1983 and then, on 23 July 1983, killed three more people at Andrew Road with an accomplice who did not take part in the killings. He was arrested and indicted for murder six days later and was sentenced to death on 14 August 1985; he lost an appeal and he was hanged on 9 December 1988.",Asia,Singapore,Male,1980s
Jerome Dennis,United States,1991,1992,5,5,Killed Newark women while on parole.,North America,United States,Male,1990s
Belize Ripper,Belize,1998,2000,5,5,The Belize Ripper was an unidentified Belizean serial killer who abducted and murdered five young girls in Belize City between 1998 and 2000.,North America,Belize,Male,1990s
Elroy Chester,United States,1997,1998,5,5,"Murdered four white people in racially-motivated attacks, and also admitted to the murder of his brother-in-law. In addition, he was linked to four non-fatal shootings and three rapes.",North America,United States,Male,1990s
Elisabeth Wiese,Germany,1902,1903,5,5,"Known as the ""Angel Maker of St. Pauli""; baby farmer who poisoned her grandchild and four others with morphine and burned their bodies in a stove in 1902 and 1903.",Europe,Germany,Female,1900s
Phantom Killer,United States,1946,1955,5,5,"Believed to have committed the Texarkana Moonlight Murders in Texas between February 23 and May 4, 1946.",North America,United States,Male,1940s
San Mateo slasher,United States,1976,1985,5,5,"Known as the ""Gypsy Hill killings""; five unsolved killings, of young women in San Mateo County, California during early 1976.",North America,United States,Male,1970s
Honolulu Strangler,United States,1985,1986,5,5,Raped and strangled five young women in Hawaii in 1985 and 1986.,North America,United States,Male,1980s
Anthony Kirkland,United States,1987,2009,5,5,"Kirkland murdered four females between 2006 and 2009, three of them children, following a 16-year prison term for the murder of another woman.",North America,United States,Male,1980s
William MacDonald,Australia,1961,1962,5,5,Murdered derelicts in Sydney and Brisbane between 1960 and 1962; sentenced to five consecutive life sentences.,Oceania,Australia,Male,1960s
Harry Powers,United States,1931,1940,5,5,"""Lonely Hearts"" swindler and conman. Killed two women and three children in Quiet Dell, West Virginia. Arrested after the bodies were found buried near his garage in 1931 and hanged in 1932.",North America,United States,Male,1930s
Anna Marie Hahn,United States,1933,1937,5,5,German-born murder-for-profit killer who poisoned five elderly men; executed in 1938.,North America,United States,Female,1930s
Robert Nixon,United States,1936,1938,5,5,"Killed 5 women in the 1930s with bricks. Executed by electrocution in Illinois on June 15, 1939.",North America,United States,Male,1930s
Waneta Hoyt,United States,1965,1971,5,5,New York woman who murdered her five children.,North America,United States,Female,1960s
Janie Lou Gibbs,United States,1966,1967,5,5,"Georgia poisoner who killed five family members. Sentenced to life. Died in prison on February 7, 2010.",North America,United States,Male,1960s
South Dade Killer,United States,1975,1984,5,5,"Known as the ""Flat-Tire murders"". Killed 5 women in 1975.",North America,United States,Male,1970s
Gerald Parker,United States,1978,1979,5,5,"Known as ""The Bedroom Basher"" raped and murdered five women and killed the unborn baby of a sixth woman in Orange County, California.",North America,United States,Male,1970s
Phillip Carl Jablonski,United States,1978,1991,5,5,convicted of killing five women in California and Utah between 1978 and 1991. Sentenced to death in 1994.,North America,United States,Male,1970s
Arthur Gary Bishop,United States,1979,1983,5,5,Utah man who murdered five young boys; executed in 1988.,North America,United States,Male,1970s
Faryion Wardrip,United States,1984,1986,5,5,"Killed five young women around Wichita Falls, Texas between 1984 and 1986.",North America,United States,Male,1980s
Timothy Wilson Spencer,United States,1984,1987,5,5,"Known as ""The Southside Strangler""; raped and killed five women in Virginia. Executed in the electric chair on April 27, 1994.",North America,United States,Male,1980s
Robert Shulman,United States,1991,1996,5,5,Convicted of murdering five sex workers between 1991 and 1996.,North America,United States,Male,1990s
Elias Abuelazam,United States,2009,2010,5,5,"Known as ""The Serial Slasher"". Israeli-Arab immigrant that stabbed victims to death. Sentenced to life on June 25, 2012.",North America,United States,Male,2000s
Joachim Knychała,Poland,1975,1982,5,5,"Known as ""The Vampire of Bytom"" or ""Frankenstein"", who murdered five women between 1975 and 1982.",Europe,Poland,Male,1970s
Archibald Hall,United Kingdom,1977,1986,5,5,"Called ""The Monster Butler"". Died in prison in 2002.",Europe,United Kingdom,Male,1970s
Colin Ireland,United Kingdom,1993,2002,5,5,"Called ""The Gay Slayer"". A highly organized serial killer, Ireland picked passive masochist gay men in the Coleherne public house, accompanied them home, and murdered them after they were voluntarily restrained. He then cleaned the house of forensic evidence and left when he was sure of not appearing suspicious.",Europe,United Kingdom,Male,1990s
Claude Lastennet,France,1993,1994,5,5,Convicted of murdering 5 old women between August 1993 and January 1994.,Europe,France,Male,1990s
Metod Trobec,SR Slovenia,1976,1978,5,5,"Raped, killed and cremated five women in his home. Also tried to murder two other immates while in prison before committing suicide in his cell in 2006.",Europe,SR Slovenia,Male,1970s
Romulus Vereş,Romania,1970,,5,5,"Known as ""The Hammer Man"". Institutionalized.",Europe,Romania,Male,1970s
Akira Nishiguchi,Japan,1963,1972,5,5,"Fraudster, murdered two people while engaging in confidence scams and killed three others while on the run from justice. Hanged in 1970.",Asia,Japan,Male,1960s
Boris Gusakov,Soviet Union,1964,1968,5,5,"Known as ""Student Hunter""; committed 15 sexual assaults, including 5 murders, on girls and young women from 1964 to 1968.",Multiple continents,Soviet Union,Male,1960s
Anatoly Biryukov,Soviet Union,1977,1986,5,5,"Known as ""The Hunter of Babies"": responsible for the kidnappings and subsequent murders of five infants from Moscow in the fall of 1977.",Multiple continents,Soviet Union,Male,1970s
Süleyman Aktaş,Turkey,1986,1994,5,5,"Known as ""The Nailing Killer"": responsible for the murders of five people in 1986 and 1994.",Asia,Turkey,Male,1980s
B1 Butcher,Namibia,2005,2007,5,5,"Murdered at least five women between 2005 and 2007, with all murders related to the National Road B1.",Africa,Namibia,Male,2000s
Alexander Spesivtsev,Russia,1991,1996,4,82,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home.",Europe,Russia,Male,1990s
Charlie Brandt,United States,1971,2004,4,29,"Killed himself by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.",North America,United States,Male,1970s
Scott Lee Kimball,United States,2003,2004,4,21,"A skilled forger who, while he ran a legitimate business buying and selling organic beef, primarily enriched himself by passing bad checks on the accounts of others and using forged documents; by 2003 he had faced criminal charges in four Western states. These white-collar crimes also enabled his murders, by allowing him to create evidence that his victims were still alive after he had killed them; he also used their checking accounts and credit cards to further his schemes once they were dead. For the first year of his murder activity, he worked as an informant for the FBI, which both paid him and protected him from facing justice over some of his fraud schemes.",North America,United States,Male,2000s
Robert Black,"United Kingdom, Ireland, West Germany, Netherlands, France",1981,1986,4,18,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.",Europe,Multiple Countries,Male,1980s
Max Gufler,Austria,1946,1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",Europe,Austria,Male,1940s
Ernesto Picchioni,Italy,,1949,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.,Europe,Italy,Male,<NA>s
Baekuni,Indonesia,1993,2010,4,14,"Child rapist who killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.",Asia,Indonesia,Male,1990s
Igor Chernat,Soviet Union,1985,1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.",Multiple continents,Soviet Union,Male,1980s
Ricky Lee Green,United States,1985,1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.,North America,United States,Male,1980s
Robert Hicks Murray,United Kingdom,,1912,4,11,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.,Europe,United Kingdom,Male,<NA>s
William Dean Christensen,"United States, Canada",1982,1983,4,10,"Known as ""The American Jack the Ripper""; murdered and mutilated three women and one man; Canadian and US authorities also investigated him as a suspect in a total of ten murders, but he died before any of these claims could be confirmed.",North America,Multiple Countries,Male,1980s
Angus Sinclair,United Kingdom,,1982,4,10,"Scottish man who was originally convicted of murdering a 7-year-old girl when he was 16. As well as being convicted of the murders of three women in 1977 and 1978, police suspect he was responsible for four other murders of women in Glasgow in these years. Also a suspect in two other murders in 1970 and 1979 respectively.",Europe,United Kingdom,Male,<NA>s
John Cooper,United Kingdom,1985,1998,4,9,"Psychopathic Welsh burglar who was convicted in 2011 of the double shotgun murders of a couple on the Pembrokeshire coast in 1989 and another during a botched burglary nearby in 1985. Police believed he killed at least one other woman in 1989, and investigated the possibility he could also have been responsible for another double shotgun murder in Bridgend in 1993. A forensic pathologist also claimed to police that he could have been responsible for two murders of elderly siblings in Pembrokeshire in 1976.",Europe,United Kingdom,Male,1980s
Cary Stayner,United States,1999,2008,4,9,"Known as ""The Yosemite Killer"". Killed four women in Yosemite, California. Sentenced to death. Brother of kidnapping victim Steven Stayner.",North America,United States,Male,1990s
Tony Costa,United States,1968,1969,4,8,Dismembered and mutilated 4 women in Cape Cod in the late 1960s; linked to at least 4 other deaths and disappearances.,North America,United States,Male,1960s
Carlton Gary,United States,1975,1978,4,8,"Gary was convicted of raping and strangling three elderly women in Columbus, Georgia between 1977 and 1978, although police and prosecutors believe him to be responsible for up to seven rape-murders in Columbus. DNA also linked him to an additional murder in Syracuse, New York, but prosecutors did not charge him because he was already on death row.",North America,United States,Male,1970s
Oakland County Child Killer,United States,1976,1977,4,9,"Unidentified person or persons who abducted and murdered at least four children in Oakland County, Michigan, between 1976 and 1977.",North America,United States,Male,1970s
Robert Rozier,United States,1981,1986,4,7,Former NFL player that was convicted of four murders but confessed to seven as a member of the Nation of Yahweh.,North America,United States,Male,1980s
Leonard Fraser,Australia,1998,1999,4,7,Serial rapist and pedophile who murdered four women in Rockhampton. Sentenced to five consecutive life sentences plus 25 years without the possibility of parole; died in prison of a heart attack in 2007.,Oceania,Australia,Male,1990s
Christopher Peterson,United States,1990,1999,4,7,"Peterson was convicted of four fatal shootings by the so-called ""Shotgun Killer"" that occurred between October and December 1990. He was charged in three other murders related to the killing spree but was acquitted.",North America,United States,Male,1990s
Ricardo Caputo,"United States, Mexico",1971,1983,4,6,Was No. 1 of the FBI Ten Most Wanted Fugitives during his time as a fugitive in the 1980s. Surrendered himself to justice in 1994 and died of cardiac arrest in prison three years later.,North America,Multiple Countries,Male,1970s
Anthony Allen Shore,United States,1986,1995,4,5,"Known as ""The Tourniquet Killer""; convicted of strangling a woman with an unusual ligature in 1992 and confessed to killing three girls including two with same MO.",North America,United States,Male,1980s
Daytona Beach killer,United States,2005,2007,4,5,"Murdered four, possibly five, women in Daytona Beach, Florida between 2005 and 2007.",North America,United States,Male,2000s
Jozef Slovák,Czechoslovakia,1978,1991,4,4,"Suspected by investigators of more murders, but only four could be proven.",Europe,Czechoslovakia,Male,1970s
Monster of Udine,Italy,1980,1989,4,4,"Killed at least 4 victims in the Province of Udine, Italy.",Europe,Italy,Male,1980s
John Martin Crawford,Canada,1981,1992,4,4,Convicted in 1996 for the murders of three native women.,North America,Canada,Male,1980s
Oba Chandler,United States,1989,1990,4,4,"Convicted for the June 1989 murders of Joan Rogers and her two daughters, whose bodies were found floating in Tampa Bay, Florida with their hands and feet bound. Autopsies showed the victims had been thrown into the water while still alive, with ropes tied to a concrete block around their necks. Chandler was executed in 2011. In February 2014, DNA evidence also identified Chandler as the murderer of Ivelisse Berrios-Beguerisse, who was found dead in Coral Springs, Florida, on November 27, 1990.",North America,United States,Male,1980s
Dallen Bounds,United States,1999,2008,4,4,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",North America,United States,Male,1990s
Wayne Adam Ford,United States,1997,1998,4,4,Confessed to murdering four women; believed to have killed others.,North America,United States,Male,1990s
Heinrich Pommerenke,Germany,1959,1968,4,4,Killed four women.,Europe,Germany,Male,1950s
Robert Mone,United Kingdom,1967,1976,4,4,Scottish man who shot dead a teacher at his former school in Dundee in 1967. Later escaped from a secure hospital in 1976 and killed three more.,Europe,United Kingdom,Male,1960s
Jerry Brudos,United States,1968,1969,4,4,"Brudos was a necrophiliac who had a fascination with women's shoes, and would often dress his victims' corpses in women's clothing.",North America,United States,Male,1960s
Robert Maudsley,United Kingdom,1974,1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983.",Europe,United Kingdom,Male,1970s
Aalt Mondria,Netherlands,1978,1997,4,4,"Dutch criminal and serial killer who committed four murders and was responsible for a large number of assaults. Mondria was considered extremely violent and aggressive. After a notorious murder of his girlfriend's 10-year-old son, he was sentenced to 18 years imprisonment in 1998, after initially receiving life imprisonment for three murders in 1978, for which he also received 15 years imprisonment.",Europe,Netherlands,Male,1970s
Tsutomu Miyazaki,Japan,1988,1989,4,4,Japanese man who murdered four young girls between August 1988 and June 1989 popularly known as the Otaku Killer. He was active in Tokyo and Saitama Prefecture.,Asia,Japan,Male,1980s
Cody Legebokoff,Canada,2009,2010,4,4,"Canadian serial killer convicted in 2014 by the British Columbia Supreme Court of murdering three women and one teenage girl, between 2009 and 2010, in or near the city of Prince George, British Columbia. He is one of Canada's youngest convicted serial killers.",North America,Canada,Male,2000s
Stephen Port,United Kingdom,2014,2015,4,4,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",Europe,United Kingdom,Male,2010s
Howell Donaldson III,United States,2017,2026,4,4,"Murdered four people in the Seminole Heights neighborhood of Tampa, Florida in October and November 2017. All four victims were shot dead seemingly at random. Sentenced to four consecutive life sentences without parole in May 2023.",North America,United States,Male,2010s
Arnold Sodeman,Australia,1930,1935,4,4,"Sodeman was convicted of murdering four children between 1930 and 1935. He would abduct children, gag them and tie their hands behind their back with their own clothing and then strangle them to death. Sodeman was one of the last eleven people to be executed in Victoria.",Oceania,Australia,Male,1930s
Craig Price,United States,1987,1989,4,4,"Murdered four people during violent attacks in their homes in Warwick, Rhode Island when he was a teenager.",North America,United States,Male,1980s
Fritz Honka,Germany,1970,1975,4,4,Strangled sex workers who refused to service him in the way that he wanted.,Europe,Germany,Male,1970s
Cayetano Santos Godino,Argentina,1912,1921,4,4,"Known as Petiso Orejudo (""the Big-eared Midget""). Teenage arsonist, animal killer and child murderer with congenital syphilis. Arrested at age 16 in 1912 for killing 4 children, although he tried to kill seven more, the first one when he was seven himself. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1948.",South America,Argentina,Male,1910s
Eastbound Strangler,United States,2006,2015,4,4,"Killed four women in October and November 2006 in Atlantic City, NJ. Each was placed about sixty feet apart in a drainage ditch filled with shallow water. They were facing east and missing their socks.",North America,United States,Male,2000s
Caroline Grills,Australia,1947,1953,4,4,Poisoned four people (most of them relatives) with thallium hidden in tea and scones she had given them in Sydney. Sentenced to five consecutive life sentences (including one for attempting to poison another family member); died from peritonitis in 1960.,Oceania,Australia,Male,1940s
Gordon Cummins,United Kingdom,1942,1951,4,4,Raped three of his victims and robbed the remaining one. Also attacked two other women. Sentenced to death by hanging.,Europe,United Kingdom,Male,1940s
Marc Sappington,United States,2001,2010,4,4,Schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He cannibalized part of his last victim.,North America,United States,Male,2000s
Peter Woodcock,Canada,1956,1991,4,4,"Sexual sadist and child rapist. Killed three young children in Toronto in the 1950s. Sentenced to a psychiatric facility, where he murdered a fellow inmate in 1991.",North America,Canada,Male,1950s
Léopold Dion,Canada,1963,1972,4,4,"Known as the ""Monster of Port-Rouge"". Canadian sex offender and serial killer who was active in Quebec. Sentenced to hang but stabbed to death on November 17, 1972, by fellow inmate Normand ""Lawrence d'Arabie"" Champagne, who was found not guilty by reason of insanity.",North America,Canada,Male,1960s
John Ingvar Lövgren,Sweden,1958,1963,4,4,Confessed to four murders committed between 1958 and 1963 in the Stockholm region.,Europe,Sweden,Male,1950s
Lam Kor-wan,Hong Kong,1980,,4,4,Taxi driver and one of Hong Kong's only two known serial killers. Famous for keeping body parts in his parents' home.,Asia,Hong Kong,Male,1980s
Jürgen Bartsch,West Germany,1962,1966,4,4,"Killed four, one escaped; died by wrongful overdose during castration surgery.",Europe,West Germany,Male,1960s
Wayne Boden,Canada,1968,1971,4,4,"Known as ""the Vampire Rapist"" killed 4 women between 1968 and 1971; died in prison 2006",North America,Canada,Male,1960s
Ion Rîmaru,Romania,1970,1971,4,4,"Known as ""The Vampire of Bucharest"". Attacked 15 lone waitresses as they returned from work with a hammer, hatchet, knife or iron bar, always after midnight and under unusual weather (snowstorms, fog, hard rain, etc.). Four were killed.",Europe,Romania,Male,1970s
David Meirhofer,United States,1967,1974,4,4,Killed three children and an ex-girlfriend between 1967 and 1974; first serial killer apprehended by offender profiling.,North America,United States,Male,1960s
Donald Neilson,United Kingdom,1971,1975,4,4,"Armed robber and murderer known as the ""Black Panther"". Died in prison in 2011.",Europe,United Kingdom,Male,1970s
Thor Nis Christiansen,United States,1977,1979,4,4,"Shot dead and committed necrophilia on 4 young women in Isla Vista, California in the late 1970s. Stabbed to death in prison on March 30, 1981; killer unknown.",North America,United States,Male,1970s
Michael Lupo,United Kingdom,1986,1995,4,4,"Called himself ""The Wolf Man"". Murdered four men after being diagnosed with HIV, died in prison in 1995.",Europe,United Kingdom,Male,1980s
Peter Lundin,Denmark,1991,2000,4,4,"Killed his mother in 1991, then killed his mistress and her two children 9 years later; Sentenced to prison.",Europe,Denmark,Male,1990s
James Swann,United States,1993,2002,4,4,Known as The Shotgun Stalker; killed 4 and injured 5 in Washington D.C. in 1993.,North America,United States,Male,1990s
Steven Grieveson,United Kingdom,1993,1994,4,4,Murdered four boys in an attempt to conceal his homosexuality.,Europe,United Kingdom,Male,1990s
Frank Gust,Germany,1994,1998,4,4,Kill four women form 1994 to 1998. Sentenced to life imprisonment.,Europe,Germany,Male,1990s
Alexander Tchayka,Russia,1994,2003,4,4,All the victims were women wearing fur coats and were stabbed multiple times (21 in one case).,Europe,Russia,Male,1990s
Peter Moore,United Kingdom,1995,2004,4,4,Stabbed and mutilated four men. Imprisoned for life since 1996.,Europe,United Kingdom,Male,1990s
Hiroaki Hidaka,Japan,1996,2005,4,4,Killed and robbed four women. Hanged in 2006.,Asia,Japan,Male,1990s
Nicolai Bonner,Israel,2005,2014,4,4,"Born in Moldova, Bonner beat to death four fellow immigrants from the former Soviet Union, three of whom were homeless, and then tried to set them on fire. Sentenced to life imprisonment in 2007.",Asia,Israel,Male,2000s
Raúl Osiel Marroquín,Mexico,2005,2014,4,4,"Called ""The Sadist"". Lured men in gay bars and strangled them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families.",North America,Mexico,Male,2000s
Dale Cregan,United Kingdom,2012,2021,4,4,,Europe,United Kingdom,Male,2010s
Richard Kuklinski,United States,1948,1986,3,175,,North America,United States,Male,1940s
Harvey Miguel Robinson,United States,1992,1993,3,3,An American serial killer who murdered three women when he was only 18 years-old.,North America,United States,Male,1990s
Albert Fish,United States,1924,1932,3,54,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.,North America,United States,Male,1920s
Robert Ben Rhoades,United States,1989,1990,3,50,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.,North America,United States,Male,1980s
Peter Tobin,United Kingdom,1991,2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Was also previously a suspect in the Bible John murders committed in Glasgow during the late 1960s, although police have now dismissed the theory.",Europe,United Kingdom,Male,1990s
Pedro Padilla Flores,Mexico,1986,1995,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.,North America,Mexico,Male,1980s
Stephen Morin,United States,1981,1990,3,30,Convicted of murdering three women within a period of five weeks in 1981. Sentenced to the death penalty.,North America,United States,Male,1980s
Dorothea Puente,United States,1982,1988,3,17,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.,North America,United States,Female,1980s
Billy Glaze,United States,1986,1987,3,20,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American sex workers in Minneapolis in 1986 and 1987.",North America,United States,Male,1980s
